,index,CS Category No.,CS Category One Name,Computer Concepts No.,Parent Category,Computational Concepts,Computer Concept Sub No.,CS Category 3 Lesson,Learning Objective No.,Computational Thinking,Secondary Computational Thinking,Essential Prereq,Voluntary Prereq,Learning Objectives,col1,GCSE,TS,MC,JC,SC,Primary Stage,col2,col3,National Curriculum KS1,National Curriculum KS2,National Curriculum KS3,National Curriculum KS4,AS Level,A Level,Essential Preequisites,Voluntary Prerequisites,Recommended Key Stage Content No.,Recommended Key Stage Content (Text),Python Course,Level Assessment Qs.,Column21,Column22,Column23,Column24,uid,Essential Prereq uid,Voluntary Prereq uid
219,219,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_6,Tuples,CT1_2_6_2,Data Representation,,CT1_2_6_1,,Be able to create a Tuple,,,,,,,,,,,,,,,,,,,,,,,,,,cf24986e-c12f-4fa4-95ce-f8e663e8b208,62735f88-84df-4556-a401-3f50b557e6cd,
220,220,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_6,Tuples,CT1_2_6_3,Data Representation,,CT1_2_6_2,,Explain the structure of a Tuple ( ) with the usage of round brackets,,,,,,,,,,,,,,,,,,,,,,,,,,56a5adfa-07bb-43cd-b979-ddc693b186cf,cf24986e-c12f-4fa4-95ce-f8e663e8b208,
221,221,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_6,Tuples,CT1_2_6_4,Data Representation,,CT1_2_6_2,,Explain that Tuples are collections of ordered information,,,,,,,,,,,,,,,,,,,,,,,,,,9893f2bd-706b-4859-80f0-d35df4c34e81,cf24986e-c12f-4fa4-95ce-f8e663e8b208,
222,222,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_6,Tuples,CT1_2_6_5,Data Representation,,CT1_2_6_2,,Explain that Tuples are immutable (unchangeable),,,,,,,,,,,,,,,,,,,,,,,,,,d71faacd-ab62-4972-a031-090c66e5b0c7,cf24986e-c12f-4fa4-95ce-f8e663e8b208,
223,223,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_6,Tuples,CT1_2_6_6,Data Representation,,CT1_2_6_2,,Explain that Tuples allow for duplicate values,,,,,,,,,,,,,,,,,,,,,,,,,,0d4082ee-ee64-48e9-b062-9e5fe417ddf5,cf24986e-c12f-4fa4-95ce-f8e663e8b208,
224,224,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_6,Tuples,CT1_2_6_7,Data Representation,,CT1_2_6_2,,Explain that Tuples can have a variety of different datatypes,,,,,,,,,,,,,,,,,,,,,,,,,,92b34bbf-e4a0-47cf-98ea-b67f527a31a7,cf24986e-c12f-4fa4-95ce-f8e663e8b208,
225,225,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_6,Tuples,CT1_2_6_8,Data Representation,,"CT1_2_1_2, CT1_2_6_1, CT1_2_6_3, CT1_2_6_4, CT1_2_6_5, CT1_2_6_6, CT1_2_6_7",,Explain the differences between a List/Array and a Tuple,,,,,,,,,,,,,,,,,,,,,,,,,,deee6693-34c1-4951-b18a-e823bf85cd14,"abb68744-eed8-4b1c-9a74-3d8f9df7c6b6,56a5adfa-07bb-43cd-b979-ddc693b186cf,9893f2bd-706b-4859-80f0-d35df4c34e81,d71faacd-ab62-4972-a031-090c66e5b0c7,0d4082ee-ee64-48e9-b062-9e5fe417ddf5,92b34bbf-e4a0-47cf-98ea-b67f527a31a7",
226,226,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_6,Tuples,CT1_2_6_9,Data Representation,,CT1_2_6_8,,Compare and contrast use of Tuples and Lists/Array,,,,,,,,,,,,,,,,,,,,,,,,,,f885eb01-ceb9-4481-906b-e002e20dcfc8,deee6693-34c1-4951-b18a-e823bf85cd14,
227,227,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_7,Sets,CT1_2_7_1,Data Representation,,0,,Explain the structure of a set {} with the usage of curly brackets,,,,,,,,,,,,,,,,,,,,,,,,,,b8c883ca-cf58-43f8-9f7e-4f5d38fe5451,,
228,228,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_7,Sets,CT1_2_7_2,Data Representation,,CT1_2_7_1,,Explain that sets are collections of unordered information,,,TS4.3,,,,,,,,,,,,,,,,,,,,,,,9f8d468f-4617-4ca3-97f8-416b40a96f4a,b8c883ca-cf58-43f8-9f7e-4f5d38fe5451,
229,229,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_7,Sets,CT1_2_7_3,Data Representation,,CT1_2_7_1,,Explain that tuples are immutable* (unchangeable),,,,,,,,,,,,,,,,,,,,,,,,,,3402230e-089f-4a5c-bdeb-4b02d430f81c,b8c883ca-cf58-43f8-9f7e-4f5d38fe5451,
230,230,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_7,Sets,CT1_2_7_4,Data Representation,,CT1_2_7_1,,Explain that sets cannot contain duplicate values,,,TS4.3,,,,,,,,,,,,,,,,,,,,,,,4001d58f-1049-4c73-a01a-a8b7a3b99608,b8c883ca-cf58-43f8-9f7e-4f5d38fe5451,
231,231,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_7,Sets,CT1_2_7_5,Algorithms,,CT1_2_7_1,,Print an entire Set to screen,,,,,,,,,,,,,,,,,,,,,,,,,,c2574c37-2d95-46b1-83eb-38189105e3b2,b8c883ca-cf58-43f8-9f7e-4f5d38fe5451,
232,232,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_7,Sets,CT1_2_7_6,Algorithms,,CT1_2_7_5,,Add an item to a Set,,,,,,,,,,,,,,,,,,,,,,,,,,915885b4-d88b-4e0d-9b80-f62d5dae1b5f,c2574c37-2d95-46b1-83eb-38189105e3b2,
233,233,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_7,Sets,CT1_2_7_7,Algorithms,,CT1_2_7_6,,Remove an item from a Set,,,,,,,,,,,,,,,,,,,,,,,,,,d7dc51d1-f4b8-4f1d-b66c-60b90eda1471,915885b4-d88b-4e0d-9b80-f62d5dae1b5f,
234,234,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_7,Sets,CT1_2_7_8,Data Representation,,CT1_2_7_1,,Explain that Sets can have a variety of different datatypes,,,TS4.3,,,,,,,,,,,,,,,,,,,,,,,a27dd07a-ee6a-4371-82d2-9880f4ec84af,b8c883ca-cf58-43f8-9f7e-4f5d38fe5451,
235,235,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_7,Sets,CT1_2_7_9,Data Representation,,"CT1_2_7_8, CT1_2_1_2",,Compare and contrast use of Sets and Lists,,,TS4.3,,,,,,,,,,,,,,,,,,,,,,,096529d1-ac78-4677-8f0f-0446b4fa3f9b,"a27dd07a-ee6a-4371-82d2-9880f4ec84af,abb68744-eed8-4b1c-9a74-3d8f9df7c6b6",
236,236,CT1,Computer Theory,CT1_22,Data Structures,Data Structures,CT1_2_9,Set Operations,CT1_2_9_1,Data Representation,,CT1_2_7_9,,Describe a Union operation,,,TS4.3,,,,,,,,,,,,,,,,,,,,,,,e27fd2fc-92b6-4413-b6e5-3b90bb74b1bd,096529d1-ac78-4677-8f0f-0446b4fa3f9b,
237,237,CT1,Computer Theory,CT1_22,Data Structures,Data Structures,CT1_2_9,Set Operations,CT1_2_9_2,Data Representation,,CT1_2_9_1,,Apply a Union operation on two Sets,,,TS4.3,,,,,,,,,,,,,,,,,,,,,,,eda015cb-9e81-459f-89b2-34d4371f2586,e27fd2fc-92b6-4413-b6e5-3b90bb74b1bd,
238,238,CT1,Computer Theory,CT1_22,Data Structures,Data Structures,CT1_2_9,Set Operations,CT1_2_9_3,Data Representation,,CT1_2_7_9,,Describe an Intersection operation,,,,,,,,,,,,,,,,,,,,,,,,,,ae8b583a-037b-447f-806e-5fef8c21471f,096529d1-ac78-4677-8f0f-0446b4fa3f9b,
239,239,CT1,Computer Theory,CT1_22,Data Structures,Data Structures,CT1_2_9,Set Operations,CT1_2_9_4,Data Representation,,CT1_2_9_3,,Apply an Intersection operation on two Sets,,,,,,,,,,,,,,,,,,,,,,,,,,b2e24ade-0f36-4d86-a25f-12c9e6db4360,ae8b583a-037b-447f-806e-5fef8c21471f,
240,240,CT1,Computer Theory,CT1_22,Data Structures,Data Structures,CT1_2_9,Set Operations,CT1_2_9_5,Data Representation,,CT1_2_7_9,,Describe a Complement operation,,,,,,,,,,,,,,,,,,,,,,,,,,8d8ddcbe-2732-4418-96dc-7e08afc99509,096529d1-ac78-4677-8f0f-0446b4fa3f9b,
241,241,CT1,Computer Theory,CT1_22,Data Structures,Data Structures,CT1_2_9,Set Operations,CT1_2_9_6,Data Representation,,CT1_2_9_5,,Apply a Complement operation on one Set,,,,,,,,,,,,,,,,,,,,,,,,,,001bcb46-bd6c-48b3-9d27-40f6fcbf6819,8d8ddcbe-2732-4418-96dc-7e08afc99509,
242,242,CT1,Computer Theory,CT1_22,Data Structures,Data Structures,CT1_2_10,Sets and Venn Diagrams,CT1_2_10_1,Abstraction,,0,,Describe Venn diagrams,,,,,,,,,,,,,,,,,,,,,,,,,,0e053eac-a295-4228-a7c2-4a0564e3a4ad,,
243,243,CT1,Computer Theory,CT1_22,Data Structures,Data Structures,CT1_2_10,Sets and Venn Diagrams,CT1_2_10_2,Abstraction,,CT1_2_10_1,,Draw and interpret Venn diagrams,,,,,,,,,,,,,,,,,,,,,,,,,,906a07c2-120f-4640-8018-20364b9fba29,0e053eac-a295-4228-a7c2-4a0564e3a4ad,
244,244,CT1,Computer Theory,CT1_22,Data Structures,Data Structures,CT1_2_10,Sets and Venn Diagrams,CT1_2_10_3,Data Representation,,"CT1_2_10_2,CT1_2_9_2",,Explain the Set operations using a Venn diagram,,,,,,,,,,,,,,,,,,,,,,,,,,3757144b-24d5-4838-85e8-d8302676b7be,"906a07c2-120f-4640-8018-20364b9fba29,eda015cb-9e81-459f-89b2-34d4371f2586",
245,245,CT1,Computer Theory,CT1_22,Data Structures,Data Structures,CT1_2_10,Sets and Venn Diagrams,CT1_2_10_4,Abstraction,,CT1_2_10_2,,Draw a Venn diagram and work out Set problems in real life,,,,,,,,,,,,,,,,,,,,,,,,,,0dadcbec-6181-4663-a2f3-940e48ef4619,906a07c2-120f-4640-8018-20364b9fba29,
246,246,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_8,Dictionaries,CT1_2_8_1,Data Representation,,0,,Explain the structure of a Dictionary {} with the usage of curly brackets and differentiate between key and value pairs,,,,,,,,,,,,,,,,,,,,,,,,,,220c6ee8-5afa-4519-9647-a983d4ab84c7,,
247,247,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_8,Dictionaries,CT1_2_8_2,Algorithms,,CT1_2_8_1,,Print an entire Dictionary and a value to screen,,,,,,,,,,,,,,,,,,,,,,,,,,5e6922c9-4323-411d-9f5d-16cc4b2351e5,220c6ee8-5afa-4519-9647-a983d4ab84c7,
248,248,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_8,Dictionaries,CT1_2_8_3,Algorithms,,CT1_2_8_2,,Add an item to a Dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,6b1c50df-8da2-48d9-b307-dab4eca763fc,5e6922c9-4323-411d-9f5d-16cc4b2351e5,
249,249,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_8,Dictionaries,CT1_2_8_4,Algorithms,,CT1_2_8_3,,Delete an item from a Dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,1752e7b5-40c0-47db-be5a-f8fb565ac15e,6b1c50df-8da2-48d9-b307-dab4eca763fc,
250,250,CT1,Computer Theory,CT1_2,Data Structures,Data Structures,CT1_2_8,Collections,CT1_2_8_5,Pattern Recognition,,"CT1_2_1_2, CT1_2_6_1, CT1_2_6_3, CT1_2_6_4, CT1_2_6_5, CT1_2_6_6, CT1_2_6_7, CT1_2_7_8",,"Compare and contrast Lists, Tuples, Sets and Dictionaries",,,,,,,,,,,,,,,,,,,,,,,,,,23cec2bc-8e2c-41f8-abe8-79cbb11848ac,"abb68744-eed8-4b1c-9a74-3d8f9df7c6b6,62735f88-84df-4556-a401-3f50b557e6cd,9893f2bd-706b-4859-80f0-d35df4c34e81,d71faacd-ab62-4972-a031-090c66e5b0c7,0d4082ee-ee64-48e9-b062-9e5fe417ddf5,92b34bbf-e4a0-47cf-98ea-b67f527a31a7,a27dd07a-ee6a-4371-82d2-9880f4ec84af",
251,251,CT1,Computer Theory,CT1_14,Data Structures,Queues & Stacks,CT1_14_1,Queues,CT1_14_1_1,Abstraction,,0,,Explain the concept of Queues,,,TS2.9,,JC2.2,,,,,,,,,,,,,,,,,,,,,61781db7-966f-4be1-820d-cd2e741df4e3,,
252,252,CT1,Computer Theory,CT1_14,Data Structures,Queues & Stacks,CT1_14_1,Queues,CT1_14_1_2,Data Representation,,CT1_14_1_1,,Demonstrate how Queues follow FIFO (First In First Out) principles,,,TS2.9,,JC2.2,,,,,,,,,,,,,,,,,,,,,8566d4b7-7c2c-4386-9719-a2badbb6e115,61781db7-966f-4be1-820d-cd2e741df4e3,
253,253,CT1,Computer Theory,CT1_14,Data Structures,Queues & Stacks,CT1_14_1,Queues,CT1_14_1_3,Data Representation,,CT1_14_1_2,,Explain the concept of Queue relations,,,,,JC2.2,,,,,,,,,,,,,,,,,,,,,5d0768b9-f12f-4326-9c5d-3d447d49a2af,8566d4b7-7c2c-4386-9719-a2badbb6e115,
254,254,CT1,Computer Theory,CT1_14,Data Structures,Queues & Stacks,CT1_14_1,Queues,CT1_14_1_4,Algorithms,,CT1_14_1_3,,Demonstate Queue Functions Enqueue and Dequeue,,,TS2.9,,JC2.2,,,,,,,,,,,,,,,,,,,,,fcf2a04c-13e2-494b-ba45-a7ae6379c5c2,5d0768b9-f12f-4326-9c5d-3d447d49a2af,
255,255,CT1,Computer Theory,CT1_14,Data Structures,Queues & Stacks,CT1_14_1,Queues,CT1_14_1_5,Algorithms,,CT1_14_1_4,,Use a buffer Queue to reoder the items in a Queue,,,TS2.9,,JC2.2,,,,,,,,,,,,,,,,,,,,,b34c2905-4b7f-4a47-b62b-c7678a908cce,fcf2a04c-13e2-494b-ba45-a7ae6379c5c2,
256,256,CT1,Computer Theory,CT1_14,Data Structures,Queues & Stacks,CT1_14_1,Queues,CT1_14_1_6,Algorithms,,CT1_14_1_5,,Demonstrate and Explain how to merge two sorted Queues to be one sorted Queue,,,,,JC2.2,,,,,,,,,,,,,,,,,,,,,c43523a8-f8e1-406f-8e4f-50ab72fcdf68,b34c2905-4b7f-4a47-b62b-c7678a908cce,
257,257,CT1,Computer Theory,CT1_14,Data Structures,Queues & Stacks,CT1_14_2,Stacks,CT1_14_2_1,Abstraction,,0,,Explain the concept of Stacks,,,TS3.6,,JC2.2,,,,,,,,,,,,,,,,,,,,,a69c2d90-7f66-46a5-9894-cd73254ebd3d,,
258,258,CT1,Computer Theory,CT1_14,Data Structures,Queues & Stacks,CT1_14_2,Stacks,CT1_14_2_2,Data Representation,,CT1_14_2_1,,Demonstrate how Stacks follow LIFO (Last In First Out principles),,,TS3.6,,JC2.2,,,,,,,,,,,,,,,,,,,,,6ec0eb5d-f258-49da-a165-c20b9e4df5d4,a69c2d90-7f66-46a5-9894-cd73254ebd3d,
259,259,CT1,Computer Theory,CT1_14,Data Structures,Queues & Stacks,CT1_14_2,Stacks,CT1_14_2_3,Algorithms,,CT1_14_2_2,,"Use stack relations, push and pop from the stack",,,TS3.6,,JC2.2,,,,,,,,,,,,,,,,,,,,,728282ef-0762-4f00-8a23-01780613378a,6ec0eb5d-f258-49da-a165-c20b9e4df5d4,
260,260,CT1,Computer Theory,CT1_14,Data Structures,Queues & Stacks,CT1_14_2,Stacks,CT1_14_2_4,Algorithms,,CT1_14_2_3,,Use a buffer stack to reorder the items in a queue,,,,,JC2.2,,,,,,,,,,,,,,,,,,,,,bb85449d-8fdf-4a32-bd65-a92a92fa81c5,728282ef-0762-4f00-8a23-01780613378a,
261,261,CT1,Computer Theory,CT1_14,Data Structures,Queues & Stacks,CT1_14_2,Stacks,CT1_14_2_5,Algorithms,,CT1_14_2_4,,Demonstrate and Explain how to merge two sorted stacks to be one sorted stack,,,TS3.6,,JC2.2,,,,,,,,,,,,,,,,,,,,,a70e3bf8-c6c7-48b8-b1cd-77690ed2ce9f,bb85449d-8fdf-4a32-bd65-a92a92fa81c5,
262,262,CT1,Computer Theory,CT1_14,Data Structures,Queues & Stacks,CT1_14_3,Queues and Stacks,CT1_14_3_1,Decomposition,,"CT1_14_1_6, CT1_14_2_5",,Combine Queues and Stacks to solve problems,,,TS3.6,,JC2.2,,,,,,,,,,,,,,,,,,,,,677aa733-8bfd-49df-8898-60b46598e6ee,"c43523a8-f8e1-406f-8e4f-50ab72fcdf68,a70e3bf8-c6c7-48b8-b1cd-77690ed2ce9f",
263,263,CT1,Computer Theory,CT1_11,Programming Fundamentals,Strings,CT1_11_1,String basics,CT1_11_1_1,Data Representation,,"CT1_23_1_2, CT1_1_3_2",,"Demonstrate how Strings hold characters, symbols, word or sentences",,,TS4.1,,JC1.5,,,,,,,,,,,,,,,,,,,,,d51e4396-5ab8-4685-b733-8855ee34b480,"269d7786-5110-4884-91aa-0d40b14ab2e7,e1bb8a8a-01f9-4758-b1f9-c7d934745564",
264,264,CT1,Computer Theory,CT1_11,Programming Fundamentals,Strings,CT1_11_1,String basics,CT1_11_1_2,Data Representation,,CT1_11_1_1,,Be able to use indices to locate individual characters in a string,,,TS4.1,,JC1.5,,,,,,,,,,,,,,,,,,,,,a7b16418-a279-4324-a874-7fd097ec8b2c,d51e4396-5ab8-4685-b733-8855ee34b480,
265,265,CT1,Computer Theory,CT1_11,Programming Fundamentals,Strings,CT1_11_1,String basics,CT1_11_1_3,Pattern Recognition,,CT1_11_1_2,,Be able to identify the validity of a string,,,,,JC6.6,,,,,,,,,,,,,,,,,,,,,c7bfbbfa-23b5-473c-b01a-8f9829190bf7,a7b16418-a279-4324-a874-7fd097ec8b2c,
266,266,CT1,Computer Theory,CT1_11,Programming Fundamentals,Strings,CT1_11_2,String operations,CT1_11_2_1,Algorithms,,CT1_11_1_2,,Illustrate the division of strings to substrings,,,TS4.1,,JC1.5,,,,,,,,,,,,,,,,,,,,,5fd2d8b3-4a80-4a84-b2c2-89b77a2b1a30,a7b16418-a279-4324-a874-7fd097ec8b2c,
267,267,CT1,Computer Theory,CT1_11,Programming Fundamentals,Strings,CT1_11_2,String operations,CT1_11_2_2,Algorithms,,CT1_11_2_1,,"Use string related functions, append, extend, remove, sort etc",,GCSE50,TS4.1,,,,,,,,,,,,,,,,,,,,,,,6c3b88fd-0f08-412b-b35b-1c969e1fd3f0,5fd2d8b3-4a80-4a84-b2c2-89b77a2b1a30,
268,268,CT1,Computer Theory,CT1_11,Programming Fundamentals,Strings,CT1_11_2,String operations,CT1_11_2_3,Pattern Recognition,,CT1_11_2_1,,Be able to permutate a string to find an anagram of a string,,,,,,,,,,,,,,,,,,,,,,,,,,6e48ed98-0949-424d-be9d-b73e3f3bcd49,5fd2d8b3-4a80-4a84-b2c2-89b77a2b1a30,
269,269,CT1,Computer Theory,CT1_11,Programming Fundamentals,Strings,CT1_11_2,String Operations,CT1_11_2_4,Data Representation,,CT1_11_2_1,,Be able to use a carriage return '/r' to move the cursor to the beginning of the same line,,,,,JC3.3,,,,,,,,,,,,,,,,,,,,,aed559af-1d3c-4091-b145-1a5acdfe03c7,5fd2d8b3-4a80-4a84-b2c2-89b77a2b1a30,
270,270,CT1,Computer Theory,CT1_11,Programming Fundamentals,Strings,CT1_11_2,String Operations,CT1_11_2_5,Data Representation,,CT1_11_2_1,,Be able to use a new line operator '/n' to move the cursor down one line,,,,,JC1.5,,,,,,,,,,,,,,,,,,,,,e7e5818a-627d-4643-bcbd-6de9e1085e7c,5fd2d8b3-4a80-4a84-b2c2-89b77a2b1a30,
271,271,CT1,Computer Theory,CT1_11,Programming Fundamentals,Strings,CT1_11_2,String Operations,CT1_11_2_6,Data Representation,,CT1_11_2_1,,Be able to use a string placeholder '%s' to insert string data into a string,,,,,JC3.3,,,,,,,,,,,,,,,,,,,,,7d84403f-cbcb-4356-9e12-f8d88e472ca1,5fd2d8b3-4a80-4a84-b2c2-89b77a2b1a30,
272,272,CT1,Computer Theory,CT1_11,Programming Fundamentals,Strings,CT1_11_2,String Operations,CT1_11_2_7,Data Representation,,CT1_11_2_1,,Be able to use a numeric placeholder '%d' to insert numeric data into a string,,,,,JC3.3,,,,,,,,,,,,,,,,,,,,,79018d0c-903b-42c6-9708-2c8d16fa27e7,5fd2d8b3-4a80-4a84-b2c2-89b77a2b1a30,
273,273,CT1,Computer Theory,CT1_11,Programming Fundamentals,Strings,CT1_11_2,String Operations,CT1_11_2_8,Data Representation,,CT1_11_2_1,,Be able to differentiate the different outputs when using arithmetic operators on Strings and Integers and a combination of both,,GCSE50,,,,,,,,,,,,,,,,,,,,,,,,3c3e5892-c478-4561-afde-146d1f9fff10,5fd2d8b3-4a80-4a84-b2c2-89b77a2b1a30,
274,274,CT1,Computer Theory,CT1_11,Programming Fundamentals,Strings,CT1_11_2,String Operations,CT1_11_2_9,Data Representation,,CT1_11_2_1,,Be able to take in user input and cast the inputs from String to either int or float,,GCSE50,,,,,,,,,,,,,,,,,,,,,,,,49f30a05-060d-4f27-8fab-7395acab3bb1,5fd2d8b3-4a80-4a84-b2c2-89b77a2b1a30,
275,275,CT1,Computer Theory,CT1_11,Programming Fundamentals,Strings,CT1_11_2,String Operations,CT1_11_2_10,Algorithms,,CT1_11_2_1,,"Demonstrate in-built functions that modify the case of a String i.e. upper(), lower(), title(), capitalize()",,,,,,,,,,,,,,,,,,,,,,,,,,80429a1f-ecf9-4bb7-b4c7-4950da16cad2,5fd2d8b3-4a80-4a84-b2c2-89b77a2b1a30,
276,276,CT1,Computer Theory,CT1_11,Programming Fundamentals,Strings,CT1_11_2,String Operations,CT1_11_2_11,Algorithms,,CT1_11_2_1,,"Demonstrate in-built functions that alter Strings or output findings i.e. split(), strip(), count(), replace()",,,,,,,,,,,,,,,,,,,,,,,,,,2e15f6d7-f688-4f95-a8c1-9059ad77ee5a,5fd2d8b3-4a80-4a84-b2c2-89b77a2b1a30,
277,277,CT1,Computer Theory,CT1_7,Data Structures,Tree Stucture,CT1_7_1,Tree Structure Basics,CT1_7_1_1,Data Representation,,0,,Describe Tree structures,,,TS1.8,,JC2.3,,,,,,,,,,,,,,,,,,,,,073709f2-c3ff-4d9e-9446-6a4fa17fcd41,,
278,278,CT1,Computer Theory,CT1_7,Data Structures,Tree Stucture,CT1_7_1,Tree Structure Basics,CT1_7_1_2,Data Representation,,CT1_7_1_1,,"Explain Tree node names such as Root, Parent, Child, Leaf and Sibling",,,TS1.8,,JC2.3,,,,,,,,,,,,,,,,,,,,,dfb7d987-153f-492a-ac7c-13203c84ec26,073709f2-c3ff-4d9e-9446-6a4fa17fcd41,
279,279,CT1,Computer Theory,CT1_7,Data Structures,Tree Stucture,CT1_7_1,Tree Structure Basics,CT1_7_1_3,Data Representation,,CT1_7_1_1,,Explain Tree branches and their relationships,,,TS1.8,,JC2.3,,,,,,,,,,,,,,,,,,,,,05e7e4ca-2a13-4b22-949a-30a64c769d2a,073709f2-c3ff-4d9e-9446-6a4fa17fcd41,
280,280,CT1,Computer Theory,CT1_7,Data Structures,Tree Stucture,CT1_7_2,Use of a tree structure,CT1_7_2_1,Abstraction,,CT1_7_1_1,,"Identify and discuss tree structures in everyday life, such as family tree, various hierarchies, etc.",,,TS1.8,,JC2.3,,,,,,,,,,,,,,,,,,,,,85e57833-08ae-4bc9-a83b-89dc4d70b103,073709f2-c3ff-4d9e-9446-6a4fa17fcd41,
281,281,CT1,Computer Theory,CT1_7,Data Structures,Tree Stucture,CT1_7_2,Use of a tree structure,CT1_7_2_2,Decomposition,,CT1_7_2_1,,"Use tree structures to model some concepts in everyday life, e.g., family tree, various hierarchies, etc.",,,TS1.8,,JC2.3,,,,,,,,,,,,,,,,,,,,,e42b3275-0d7e-4272-b7ac-f2c39f9a4ef0,85e57833-08ae-4bc9-a83b-89dc4d70b103,
282,282,CT1,Computer Theory,CT1_7,Data Structures,Tree Stucture,CT1_7_3,Tree Traverse,CT1_7_3_1,Algorithms,,"CT1_7_1_2, CT1_7_1_3",,Explain breadth first search in Tree structures (Left subtree - then right),,,TS1.8,,JC2.3,,,,,,,,,,,,,,,,,,,,,19aef803-f3b5-4f76-a4b8-8c3ff52b2920,"dfb7d987-153f-492a-ac7c-13203c84ec26,05e7e4ca-2a13-4b22-949a-30a64c769d2a",
283,283,CT1,Computer Theory,CT1_7,Data Structures,Tree Stucture,CT1_7_3,Tree Traverse,CT1_7_3_2,Algorithms,,CT1_7_3_1,,Operate breadth first search in Tree structures (Left subtree - then right),,,,,JC2.3,,,,,,,,,,,,,,,,,,,,,95644efd-3745-4510-a9f5-bf801c56e752,19aef803-f3b5-4f76-a4b8-8c3ff52b2920,
284,284,CT1,Computer Theory,CT1_7,Data Structures,Tree Stucture,CT1_7_3,Tree Traverse,CT1_7_3_3,Algorithms,,"CT1_7_1_2, CT1_7_1_3",,Explain depth first search in Tree structures (one level of children nodes then repeat),,,TS1.8,,JC2.3,,,,,,,,,,,,,,,,,,,,,045b3236-a656-489b-ac95-2c92f981a06d,"dfb7d987-153f-492a-ac7c-13203c84ec26,05e7e4ca-2a13-4b22-949a-30a64c769d2a",
285,285,CT1,Computer Theory,CT1_7,Data Structures,Tree Stucture,CT1_7_3,Tree Traverse,CT1_7_3_4,Algorithms,,CT1_7_3_3,,Operate depth first search in Tree structures (one level of children nodes then repeat),,,,,JC2.3,,,,,,,,,,,,,,,,,,,,,db594a8b-b37b-4224-9122-5e08e1a99893,045b3236-a656-489b-ac95-2c92f981a06d,
286,286,CT1,Computer Theory,CT1_7,Data Structures,Tree Stucture,CT1_7_3,Tree Traverse,CT1_7_3_5,Pattern Recognition,,"CT1_7_3_2, CT1_7_3_4",,Differentiate breadth first search and depth first search in a tree,,,TS1.8,,JC2.3,,,,,,,,,,,,,,,,,,,,,026e1653-93c8-45d7-8396-8b8ffc0eff54,"95644efd-3745-4510-a9f5-bf801c56e752,db594a8b-b37b-4224-9122-5e08e1a99893",
287,287,CT1,Computer Theory,CT1_15,Data Structures,Heaps,CT1_15_2,Heap Basics,CT1_15_2_1,Data Representation,,CT1_7_1_1,,Explain how the heap is a special case of trees,,,TS4.4,,,,,,,,,,,,,,,,,,,,,,,121f6205-1c8c-4bba-a910-fe9bcb70514b,073709f2-c3ff-4d9e-9446-6a4fa17fcd41,
288,288,CT1,Computer Theory,CT1_15,Data Structures,Heaps,CT1_15_3,Heap Operations,CT1_15_3_1,Algorithms,,CT1_15_2_1,,Execute heapify the heaps,,,TS4.4,,,,,,,,,,,,,,,,,,,,,,,79066efc-de97-4197-9770-4bc1d9f9f2af,121f6205-1c8c-4bba-a910-fe9bcb70514b,
289,289,CT1,Computer Theory,CT1_15,Data Structures,Heaps,CT1_15_3,Heap Operations,CT1_15_3_2,Algorithms,,CT1_15_3_1,,Insert a new element to a heap,,,TS4.4,,,,,,,,,,,,,,,,,,,,,,,89e9424b-615b-4b0c-913e-9bdeae89b266,79066efc-de97-4197-9770-4bc1d9f9f2af,
290,290,CT1,Computer Theory,CT1_15,Data Structures,Heaps,CT1_15_3,Heap Operations,CT1_15_3_3,Algorithms,,CT1_15_3_1,,Extract the root from a heap,,,TS4.4,,,,,,,,,,,,,,,,,,,,,,,5485af6c-0332-4da3-b7f6-49c65a7b11d0,79066efc-de97-4197-9770-4bc1d9f9f2af,
